"","FPKM.liver.tablemaker"
"1131",16.4943
"1132",0
"1133",0
"1134",0
"1135",0
"1136",0
"1137",0
"1138",0
"1139",0
"1140",0
"1141",0
"1142",0
"1143",0
"1144",1.89784
"1145",0
"1146",5.93425
"1147",0
"1148",0
"1149",0
"1150",13.5476
"1151",0
"1152",4.3253
"1153",6.26555
"1154",1.64262
"1155",0
"1156",0
"1157",0
"1158",13.2761
"1159",12.305
"1160",0
"1161",1.68594
"1162",3.08107
"1163",0
"1164",59.6899
"1165",0
"1166",2.08762
"1167",5.45568
"1168",169.534
"1169",8.24084
"1170",0
"1171",0
"1172",0
"1173",34.7488
"1174",3.03996
"1175",0
"1176",5.48116
"1177",0
"1178",0
"1179",29.4325
"1180",14.7149
"1181",54.46
"1182",0
"1183",4.27782
"1184",2.20459
"1185",1.87266
"1186",3.75377
"1187",3.33467
"1188",0
"1189",0
"1190",1.40902
"1191",0
"1192",0
"1193",0
"1194",16.5651
"1195",30.3044
"1196",0
"1197",0
"1198",0
"1199",6.07937
"1200",0
"1201",0
"1202",0
"1203",25.988
"1204",8.30999
"1205",0
"1206",0
"1207",0
"1208",0
"1209",2.26062
"1210",3.46748
"1211",0
"1212",1.78368
"1213",1.95403
"1214",0
"1215",2.60452
"1216",0
"1217",0
"1218",0
"1219",342.48
"1220",15.3232
"1221",0
"1222",13.4567
"1223",14.9296
"1224",0
"1225",0
"1226",2.45533
"1227",16.9606
"1228",0
"1229",0
"1230",37.1192
"1231",0
"1232",0
"1233",0
"1234",0
"1235",0
"1236",6.85319
"1237",5.77659
"1238",0
"1239",0
"1240",0
"1241",0
"1242",3.14631
"1243",0
"1244",0
"1245",0
"1246",0
"1247",6.07937
"1248",3.76759
"1249",0
"1250",210.143
"1251",0
"1252",6.93449
"1253",5.02642
"1254",0
"1255",3.18416
"1256",2.38584
"1257",0
"1258",181.114
"1259",73.8398
"1260",0
"1261",15.827
"1262",34.6713
"1263",0
"1264",4.92953
"1265",0
"1266",0
"1267",0
"1268",19.0704
"1269",4.34366
"1270",0
"1271",0
"1272",5.54429
"1273",0
"1274",0
"1275",0
"1276",0
"1277",0
"1278",0
"1279",4.74134
"1280",0
"1281",27.287
"1282",6.06415
"1283",1.75804
"1284",155.101
"1285",0
"1286",9.95558
"1287",1.37216
"1288",0
"1289",7.61483
"1290",0
"1291",0
"1292",0
"1293",19.024
"1294",0
"1295",0
"1296",80.0772
"1297",0
"1298",0
"1299",10.4099
"1300",1.11433
"1301",6.47925
"1302",0.981489
"1303",21.6294
"1304",0
"1305",3.24734
"1306",49.9573
"1307",0.740402
"1308",45.0163
"1309",0
"1310",0
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0
"1318",0
"1319",0
"1320",1.10411
"1321",0
"1322",6.58837
"1323",11.1181
"1324",11.3968
"1325",0
